Date,Equal Weight,Max Sharpe,Min Variance,Risk Parity
2023-05-25 00:00:00+00:00,,,,
2023-05-26 00:00:00+00:00,10251.224414338109,10194.753163864034,10157.837277359016,10232.701669572854
2023-05-30 00:00:00+00:00,10280.03248488316,10142.271388057408,10172.510024953099,10258.887449412345
2023-05-31 00:00:00+00:00,10239.976724165042,10053.857672009834,10118.484791016786,10211.668832895746
2023-06-01 00:00:00+00:00,10413.758462475107,10175.415659533639,10252.556138267417,10374.128317654198
2023-06-02 00:00:00+00:00,10480.874245582592,10259.149164337074,10320.073637055842,10443.801583130982
2023-06-05 00:00:00+00:00,10500.146406870443,10289.635133959131,10315.336922874649,10462.362264036576
2023-06-06 00:00:00+00:00,10522.785051525536,10246.195765101853,10300.491685533785,10480.430134664592
2023-06-07 00:00:00+00:00,10211.923762805593,9919.113570299198,10068.56677986719,10180.115755859137
2023-06-08 00:00:00+00:00,10309.36830671565,9965.578541530946,10153.029298133264,10277.000252304486
2023-06-09 00:00:00+00:00,10316.158320144154,10007.808190923626,10183.618977909888,10287.271484840852
2023-06-12 00:00:00+00:00,10505.213607735424,10157.704217788963,10335.140924004765,10468.529734185122
2023-06-13 00:00:00+00:00,10520.113606371826,10221.8115163691,10353.430455011101,10484.47721508995
2023-06-14 00:00:00+00:00,10557.56597858658,10300.417948529559,10403.63042311578,10522.482968225395
2023-06-15 00:00:00+00:00,10749.527990771585,10596.624408829692,10601.36530396962,10710.876155898375
2023-06-16 00:00:00+00:00,10637.994062599124,10425.987712362648,10480.20038732213,10594.619595367769
2023-06-20 00:00:00+00:00,10638.957100490075,10312.96391954593,10429.667011553369,10582.606067519757
2023-06-21 00:00:00+00:00,10517.921072796982,10164.804696500849,10309.624953241744,10460.728812381138
2023-06-22 00:00:00+00:00,10750.596212136592,10356.739839528002,10497.467497623098,10690.076661797926
2023-06-23 00:00:00+00:00,10717.989282007315,10225.019133999278,10421.218890596158,10643.790628119688
2023-06-26 00:00:00+00:00,10482.919262692703,10010.443314544451,10247.39521477834,10423.360232607309
2023-06-27 00:00:00+00:00,10646.234153939378,10164.355647783304,10382.216270459161,10575.901557623814
2023-06-28 00:00:00+00:00,10689.526414030912,10223.70139497628,10460.578233813349,10628.608127480065
2023-06-29 00:00:00+00:00,10622.317532579455,10189.847787909459,10441.222121388337,10571.34707846776
2023-06-30 00:00:00+00:00,10805.191155946979,10344.585802957285,10625.28979940621,10752.691191756658
2023-07-03 00:00:00+00:00,10755.311813161943,10273.356357928053,10552.877370379763,10699.024159743267
2023-07-05 00:00:00+00:00,10846.074065435627,10303.151209946911,10563.557735678021,10769.682973144923
2023-07-06 00:00:00+00:00,10790.313062454632,10362.788771764244,10582.972433884885,10726.900621209417
2023-07-07 00:00:00+00:00,10750.973883005301,10248.285478060361,10495.524906670134,10680.521022794219
2023-07-10 00:00:00+00:00,10617.25505031496,10067.79007395896,10327.826713681592,10531.790521938035
2023-07-11 00:00:00+00:00,10688.458492322903,10094.75879920556,10337.362285812624,10590.526410199654
2023-07-12 00:00:00+00:00,10885.48702510931,10241.068320326061,10465.230117718702,10769.028075266551
2023-07-13 00:00:00+00:00,11111.294746496285,10447.530685774533,10636.130228989392,10989.253254416391
2023-07-14 00:00:00+00:00,11119.361271879892,10524.958470338923,10684.29890395828,11010.069464618946
2023-07-17 00:00:00+00:00,11143.786486081426,10530.684934278053,10758.671630419005,11039.944117429184
2023-07-18 00:00:00+00:00,11210.116657005276,10873.575914005767,10896.993874502714,11119.128694353389
2023-07-19 00:00:00+00:00,11246.133832196248,10744.171423598971,10857.499383440865,11138.36482701201
2023-07-20 00:00:00+00:00,10926.133991419143,10491.190400565656,10660.00281401215,10843.975941379373
2023-07-21 00:00:00+00:00,10848.406822457353,10421.492223797464,10609.602172483024,10778.925171971367
2023-07-24 00:00:00+00:00,10854.766560334005,10476.187318409276,10671.379673358028,10797.822437266255
2023-07-25 00:00:00+00:00,10944.554938399877,10638.950540201726,10775.824814919666,10889.508558076795
2023-07-26 00:00:00+00:00,11008.450269338688,10387.640870485597,10762.069505783778,10937.604535716993
2023-07-27 00:00:00+00:00,11050.186655450438,10206.048850119785,10650.657906743038,10939.021947195375
2023-07-28 00:00:00+00:00,11350.46507437064,10443.180799423666,10855.243444317279,11216.670362966543
2023-07-31 00:00:00+00:00,11320.177413511277,10380.443687930427,10842.029051636835,11196.37867377647
2023-08-01 00:00:00+00:00,11288.08030484584,10377.184939904913,10807.843618221872,11157.76209385975
2023-08-02 00:00:00+00:00,11019.71746426301,10107.545198769762,10577.268460681542,10897.044849315367
2023-08-03 00:00:00+00:00,11004.33492626655,10086.69035711595,10535.945803137514,10878.814752318494
2023-08-04 00:00:00+00:00,11066.973906634079,10110.770484193594,10328.882184853803,10906.399502220704
2023-08-07 00:00:00+00:00,11186.618572335314,10210.154645884355,10333.397333418483,11005.445783989886
2023-08-08 00:00:00+00:00,11105.717741848539,10102.901118001479,10307.631617326842,10935.214082915447
2023-08-09 00:00:00+00:00,10945.37543085189,9983.042913763145,10196.856447727065,10787.070552102496
2023-08-10 00:00:00+00:00,10963.512941565945,10002.030571697704,10200.701558092513,10802.940326063635
2023-08-11 00:00:00+00:00,10918.764959315144,9951.208449457945,10178.767795351172,10765.499448366363
2023-08-14 00:00:00+00:00,11054.758477173978,10049.995773183911,10281.230822723846,10894.67560319819
2023-08-15 00:00:00+00:00,10912.72741399946,9974.581150492004,10182.092206872017,10760.587462348481
2023-08-16 00:00:00+00:00,10780.582329523775,9940.704537879827,10133.441535678387,10647.583608337263
